Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(EVEN INDEX),(3 (A B)),CONCRETE,INFERRED,1.369,1.006,1
(ODD A),(1 (B A)),SYMBOLIC,INSTRUCTED,1.1890001,1.0009999,1
(EVEN A),(8 (B A)),SYMBOLIC,INSTRUCTED,1.1890001,1.0009999,1
(ODD A),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1890001,1.0009995,1
(ODD INDEX),(4 (A B)),CONCRETE,INFERRED,1.1890001,1.0060005,1
(EVEN B),(4 (B A)),SYMBOLIC,INSTRUCTED,1.1890011,1.0009995,1
(ODD B),(3 (A B)),SYMBOLIC,INSTRUCTED,1.1889992,1.0010014,1
(ODD B),(8 (A B)),SYMBOLIC,INFERRED,1.1889992,1.191,1
(EVEN INDEX),(1 (B A)),CONCRETE,INFERRED,1.1890011,1.0059986,1
(ODD A),(8 (B A)),SYMBOLIC,INFERRED,1.1890011,1.191,1
(ODD A),(7 (A B)),SYMBOLIC,INSTRUCTED,1.189003,1.0009995,1
(EVEN A),(7 (A B)),SYMBOLIC,INFERRED,1.1889992,1.1909981,1
(ODD MIDDLE),(6 (B A)),CONCRETE,INFERRED,1.189003,1.0060005,1
(EVEN INDEX),(9 (B A)),CONCRETE,INFERRED,1.1889992,1.0060005,1
(ODD A),(6 (B A)),SYMBOLIC,INFERRED,1.1889992,1.1909981,1
(ODD A),(9 (A B)),SYMBOLIC,INSTRUCTED,1.189003,1.0009995,1
(EVEN MIDDLE),(1 (A B)),CONCRETE,INFERRED,1.1889992,1.0060005,1
(EVEN A),(4 (B A)),SYMBOLIC,INSTRUCTED,1.1889992,1.0009995,1
(EVEN A),(8 (A B)),SYMBOLIC,INSTRUCTED,1.1889992,1.0010033,1
(ODD B),(4 (B A)),SYMBOLIC,INFERRED,1.1889992,1.1909981,1
(ODD B),(8 (B A)),SYMBOLIC,INFERRED,1.189003,1.1909943,1
(EVEN INDEX),(6 (A B)),CONCRETE,INSTRUCTED,1.189003,0.8160019,1
(EVEN B),(9 (B A)),SYMBOLIC,INFERRED,1.1889954,1.1910019,1
(ODD A),(9 (B A)),SYMBOLIC,INSTRUCTED,1.189003,1.0009995,1
(EVEN A),(6 (B A)),SYMBOLIC,INSTRUCTED,1.1889954,1.0010071,1
(EVEN INDEX),(4 (A B)),CONCRETE,INSTRUCTED,1.1889954,0.8160019,1
(ODD INDEX),(2 (B A)),CONCRETE,INFERRED,1.189003,1.0059967,1
