Rule,Stimulus,RuleType,StimulusType,EncodingRT,ExecutionRT,Accuracy
(EVEN INDEX),(6 (A B)),CONCRETE,INSTRUCTED,1.339,0.7850001,1
(EVEN INDEX),(2 (B A)),CONCRETE,INSTRUCTED,1.1690001,0.78499985,1
(ODD B),(2 (B A)),SYMBOLIC,INFERRED,1.1690001,1.1599994,1
(EVEN B),(8 (A B)),SYMBOLIC,INSTRUCTED,1.1690006,0.9699993,1
(ODD B),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1690006,0.97000027,1
(ODD INDEX),(6 (B A)),CONCRETE,INFERRED,1.1689997,0.9750004,1
(EVEN INDEX),(8 (B A)),CONCRETE,INSTRUCTED,1.1689987,0.78500175,1
(EVEN MIDDLE),(2 (B A)),CONCRETE,INSTRUCTED,1.1689987,0.78499985,1
(EVEN A),(7 (A B)),SYMBOLIC,INFERRED,1.1690006,1.1599998,1
(EVEN A),(6 (B A)),SYMBOLIC,INSTRUCTED,1.1690006,0.9699993,1
(EVEN A),(4 (A B)),SYMBOLIC,INSTRUCTED,1.1690006,0.9700012,1
(EVEN B),(7 (A B)),SYMBOLIC,INFERRED,1.1689987,1.1599998,1
(ODD B),(9 (A B)),SYMBOLIC,INSTRUCTED,1.1689987,0.9700012,1
(ODD MIDDLE),(4 (B A)),CONCRETE,INFERRED,1.1689987,0.9750023,1
(ODD B),(7 (B A)),SYMBOLIC,INSTRUCTED,1.1689987,0.9700012,1
(EVEN B),(3 (A B)),SYMBOLIC,INFERRED,1.1689987,1.1599998,1
(EVEN A),(6 (A B)),SYMBOLIC,INSTRUCTED,1.1689987,0.9700012,1
(ODD A),(9 (A B)),SYMBOLIC,INSTRUCTED,1.1689987,0.9700012,1
(EVEN INDEX),(3 (B A)),CONCRETE,INFERRED,1.1689987,0.9750023,1
(ODD A),(1 (A B)),SYMBOLIC,INSTRUCTED,1.1689987,0.9700012,1
(EVEN B),(9 (A B)),SYMBOLIC,INFERRED,1.1689987,1.1600037,1
(ODD MIDDLE),(7 (B A)),CONCRETE,INSTRUCTED,1.1689987,0.78499603,1
