Instructed,Rule,Stimulation,Site,Accuracy,EncodingTime,ResponseTime,Subject
1,0,0,0,1,0.51807,0.71839,1
1,1,0,0,1,0.51819,0.78517,1
1,0,1,0,1,0.51814,0.73503,1
1,1,2,0,1,0.51833,1.1022,1
0,0,1,0,1,0.51826,2.6709,1
1,1,0,0,1,0.91881,0.61816,1
0,0,2,0,1,0.51815,1.7864,1
1,0,2,0,1,0.51819,0.93521,1
0,0,0,0,1,0.51822,1.1021,1
1,1,1,0,1,0.51827,0.70166,1
1,0,0,0,1,0.65171,0.78518,1
0,1,1,0,1,0.51817,0.66838,1
1,0,2,0,1,0.51804,0.65159,1
0,0,2,0,1,0.51835,0.8853,1
1,1,1,0,1,0.51821,0.60151,1
1,1,0,0,1,0.518,0.65147,1
0,0,2,0,1,0.60163,0.60151,1
1,1,0,0,1,0.51825,0.50134,1
1,1,1,0,1,0.56826,0.60152,1
0,0,1,0,0,0.5181,0.7683,1
1,1,0,0,1,0.53486,0.58486,1
1,1,2,0,1,0.56819,0.9855,1
0,1,1,0,1,0.56811,0.80177,1
1,1,2,0,1,0.51806,0.50134,1
1,1,0,0,1,0.81846,0.58484,1
0,1,2,0,1,0.66837,0.50128,1
1,1,1,0,1,0.51822,0.55153,1
1,1,0,0,1,0.51811,0.6014,1
1,0,2,0,1,0.8019,0.90178,1
0,0,1,0,1,0.51813,0.73505,1
1,0,0,0,1,0.51808,0.68501,1
1,1,2,0,1,0.53489,0.91862,1
0,1,1,0,1,0.51827,0.60158,1
0,0,0,0,1,0.5849,0.66838,1
1,0,2,0,0,0.51823,1.6029,1
0,1,1,0,1,0.58495,1.0354,1
0,0,0,0,1,0.51822,1.5863,1
0,0,1,1,1,0.93566,0.85172,1
0,1,0,1,1,0.9858,0.5014,1
1,0,2,1,1,0.55149,1.1188,1
0,0,1,1,1,0.51809,1.1189,1
1,1,2,1,1,0.63499,1.5361,1
1,1,0,1,1,0.53485,0.56802,1
0,0,0,1,1,0.51819,0.73513,1
1,1,1,1,1,0.51817,1.002,1
0,1,2,1,1,0.5682,0.5181,1
1,0,0,1,1,0.58485,1.0688,1
0,1,2,1,1,0.51813,1.5527,1
0,1,1,1,1,0.66834,0.83522,1
1,1,0,1,1,0.51822,0.98529,1
0,1,2,1,1,0.51816,0.60141,1
1,0,1,1,1,0.51837,0.785,1
1,0,0,1,1,0.51816,0.7517,1
0,1,2,1,1,0.51822,0.60155,1
0,0,1,1,1,0.5181,0.98535,1
0,1,2,1,1,0.51832,0.58478,1
0,0,0,1,1,0.5182,1.4026,1
0,0,1,1,1,0.61829,1.0855,1
0,1,0,1,1,0.51822,0.96867,1
1,0,2,1,1,0.51812,0.71831,1
1,0,1,1,1,0.58494,1.0855,1
0,1,0,1,1,0.60158,0.71849,1
1,0,1,1,1,0.6017,0.61829,1
0,1,2,1,1,0.6016,0.55136,1
0,0,1,1,1,0.53485,0.66822,1
1,1,0,1,1,0.53495,0.50144,1
0,0,2,1,1,0.51805,0.70165,1
0,1,1,1,1,0.51809,0.53488,1
0,0,0,1,1,0.70171,0.88533,1
0,0,2,1,1,0.51822,0.86854,1
1,0,1,1,1,0.5182,0.73505,1
0,1,0,1,1,0.51801,0.78514,1
1,1,2,1,1,0.60147,0.50124,1
1,0,2,1,1,0.66833,1.0855,1
1,1,0,1,1,0.51809,0.83529,1
1,1,1,1,1,0.56819,1.1021,1
1,1,1,1,1,0.56823,1.2692,1
0,0,0,1,1,0.60164,0.86856,1
0,0,2,1,1,0.55168,0.9186,1
1,0,1,1,1,0.71846,0.75176,1
1,1,0,1,1,0.51814,0.58488,1
1,1,2,1,1,0.60171,0.60154,1
0,0,0,1,1,0.51813,0.71825,1
1,0,2,1,1,0.53488,0.66837,1
0,1,1,1,1,0.51825,0.50136,1
0,1,1,1,1,0.51824,0.50149,1
0,0,2,1,1,0.51813,0.88533,1
1,0,0,1,1,0.51808,0.70164,1
0,1,1,1,0,0.70171,0.68503,1
1,0,2,1,1,0.56817,0.66825,1
1,0,0,1,1,0.68501,0.58484,1
0,1,0,1,1,0.51813,0.56824,1
1,1,2,1,1,0.76847,0.53477,1
1,0,1,1,1,0.56839,0.76836,1
1,1,0,1,1,0.70187,0.71843,1
1,1,1,1,1,0.51807,1.169,1
1,0,2,1,1,0.51823,1.319,1
1,0,0,NaN,1,NaN,NaN,2
1,1,2,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
0,1,1,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
1,0,2,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,0,0,NaN,1,NaN,NaN,2
1,1,2,NaN,1,NaN,NaN,2
0,1,1,NaN,1,NaN,NaN,2
0,0,2,NaN,0,NaN,NaN,2
1,1,1,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
0,1,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,1,1,NaN,1,NaN,NaN,2
1,0,0,NaN,1,NaN,NaN,2
0,0,2,NaN,1,NaN,NaN,2
0,1,1,NaN,1,NaN,NaN,2
0,0,2,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
0,1,0,NaN,1,NaN,NaN,2
1,1,1,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
0,1,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
0,1,0,NaN,1,NaN,NaN,2
1,1,1,NaN,1,NaN,NaN,2
0,0,2,NaN,0,NaN,NaN,2
1,1,2,NaN,1,NaN,NaN,2
1,0,0,NaN,1,NaN,NaN,2
0,0,1,NaN,0,NaN,NaN,2
1,0,2,NaN,1,NaN,NaN,2
0,0,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
1,1,2,NaN,1,NaN,NaN,2
0,0,1,NaN,0,NaN,NaN,2
0,1,0,NaN,1,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
0,0,2,NaN,1,NaN,NaN,2
1,1,1,NaN,1,NaN,NaN,2
0,0,0,NaN,1,NaN,NaN,2
0,0,2,NaN,1,NaN,NaN,2
0,1,2,NaN,1,NaN,NaN,2
1,0,1,NaN,1,NaN,NaN,2
1,0,0,NaN,1,NaN,NaN,2
0,0,1,NaN,1,NaN,NaN,2
0,0,0,NaN,0,NaN,NaN,2
0,0,2,NaN,1,NaN,NaN,2
0,0,1,NaN,1,NaN,NaN,2
1,0,2,NaN,0,NaN,NaN,2
1,1,0,NaN,1,NaN,NaN,2
1,0,0,1,1,1.4363,0.71839,2
0,0,1,1,1,1.0857,0.71846,2
1,1,2,1,1,1.2193,0.75171,2
0,0,1,1,1,0.51815,0.91858,2
1,1,0,1,1,0.75186,0.81854,2
1,1,2,1,1,0.5349,0.5013,2
1,1,2,1,1,0.71847,0.50136,2
1,1,0,1,1,0.61846,0.55149,2
0,0,1,1,1,0.65165,0.71833,2
0,1,1,1,1,0.96879,1.2023,2
1,0,2,1,1,0.75186,0.70163,2
0,1,0,1,1,0.68506,0.66825,2
0,0,0,1,1,0.78524,0.90196,2
1,0,1,1,1,0.61833,0.63491,2
0,0,2,1,1,0.96877,1.0688,2
0,1,0,1,1,0.86869,0.50144,2
1,1,2,1,1,0.58496,0.50142,2
0,0,1,1,1,0.63504,0.98532,2
1,0,2,1,1,0.75189,0.65151,2
1,0,0,1,1,0.95205,0.61825,2
1,0,1,1,1,0.51816,0.78513,2
0,1,1,1,1,0.51815,0.53477,2
1,0,0,1,1,0.51807,1.0021,2
0,1,2,1,1,0.51821,0.71839,2
1,1,1,1,1,0.80194,0.68501,2
0,0,2,1,1,0.6684,0.76839,2
1,1,0,1,0,0.9689,1.4026,2
0,1,0,1,1,0.93532,0.73497,2
1,0,1,1,1,0.9522,0.86857,2
0,1,2,1,1,0.81854,0.56809,2
1,0,0,1,1,0.51817,0.70165,2
1,0,2,1,1,1.0521,0.56811,2
0,0,1,1,1,4.4067,1.4694,2
0,0,2,1,1,0.96878,0.75174,2
0,1,1,1,1,0.63502,0.51807,2
1,1,0,1,1,1.2858,0.56812,2
1,0,0,1,1,0.51824,0.73507,2
0,1,1,1,1,0.51822,0.85193,2
1,1,2,1,1,1.3025,0.50137,2
0,0,1,1,1,0.81866,0.80167,2
0,0,2,1,0,0.7686,3.5722,2
0,0,0,1,1,0.88536,0.91858,2
0,1,0,1,1,1.4195,1.9701,2
0,1,1,1,1,1.4028,0.66828,2
0,1,2,1,1,0.66845,0.61823,2
1,0,1,1,1,0.95212,1.4527,2
0,0,0,1,1,1.1522,1.0855,2
1,0,2,1,1,1.0689,0.7685,2
0,1,1,1,1,0.70163,0.9854,2
1,0,0,1,1,0.90208,0.86848,2
0,1,2,1,1,1.3192,0.71833,2
0,1,0,1,1,1.1357,0.76847,2
1,1,1,1,1,0.73515,0.78524,2
0,0,2,1,1,0.90196,0.83524,2
1,1,2,1,1,2.2038,0.50138,2
1,1,1,1,1,0.70177,0.58485,2
1,0,0,1,1,1.5528,1.0521,2
0,1,0,1,1,1.6197,0.85185,2
1,0,1,1,1,0.91867,0.71826,2
1,1,2,1,1,0.902,0.50137,2
0,0,0,0,1,1.6033,0.81835,2
0,1,2,0,1,0.919,1.1522,2
0,0,1,0,1,0.81863,2.1201,2
0,0,0,0,1,1.1857,1.0688,2
0,1,2,0,1,0.7852,0.53478,2
0,1,1,0,1,0.70171,1.2024,2
1,0,1,0,0,0.56839,1.7363,2
0,0,2,0,1,0.51817,0.96866,2
0,0,0,0,1,0.95211,0.80178,2
0,0,1,0,1,0.55165,1.5362,2
1,0,2,0,1,0.51816,0.80171,2
1,1,0,0,1,1.0856,0.51806,2
0,1,2,0,0,0.60176,1.753,2
1,0,1,0,0,0.60166,2.187,2
1,1,0,0,0,0.9688,0.71837,2
1,1,1,0,1,0.51818,0.50136,2
0,0,2,0,1,0.7352,0.95193,2
1,0,0,0,1,1.0022,0.53481,2
1,0,1,0,1,0.71852,1.2691,2
0,0,0,0,0,0.83522,0.50129,2
1,1,2,0,1,0.83521,0.5014,2
0,1,0,0,1,1.1357,0.50128,2
1,1,1,0,1,0.56831,0.61813,2
0,0,2,0,1,0.51826,1.4693,2
0,0,1,0,1,0.51804,1.5695,2
1,1,2,0,1,0.83514,0.50134,2
0,0,0,0,1,1.0856,1.3858,2
1,1,1,0,1,0.66828,0.76835,2
1,0,2,0,0,1.4528,1.1522,2
0,1,0,0,1,0.78523,0.51796,2
0,1,2,0,1,1.2024,0.5013,2
0,1,1,0,1,0.93529,1.4526,2
0,1,0,0,1,1.0522,0.61808,2
1,1,1,0,1,0.71839,0.71842,2
0,1,2,0,1,0.6517,0.50141,2
0,0,0,0,1,0.80186,0.90193,2
0,0,1,0,1,0.71844,0.93541,2
1,0,2,0,1,0.65168,1.5861,2
0,1,0,0,1,0.71861,0.55147,2
0,1,0,0,1,0.70174,0.55144,2
1,1,2,0,1,0.93548,0.53474,2
0,0,1,0,1,0.95206,2.454,2
0,0,1,0,1,0.70174,1.3692,2
1,0,0,0,1,1.1024,0.90187,2
0,0,2,0,0,2.7545,0.71829,2
1,1,0,0,1,0.88533,0.51802,2
1,0,2,0,1,0.66828,0.56811,2
0,1,1,0,1,0.73516,1.2525,2
1,1,2,0,0,0.51818,1.6363,2
0,1,0,0,1,0.86871,0.78514,2
0,0,1,0,1,0.78518,0.9687,2
1,0,0,0,1,1.069,1.4693,2
1,0,1,0,1,0.56829,1.3025,2
1,0,2,0,1,0.58488,0.53476,2
0,0,2,0,1,0.85194,0.88518,2
1,1,1,0,1,1.386,2.1702,2
0,1,0,0,1,0.85202,0.63482,2
0,1,2,0,1,0.75197,1.436,2
0,1,0,0,1,1.4195,0.56822,2
0,1,1,0,1,1.0523,1.7197,2
0,0,2,1,1,0.85216,0.88522,2
0,0,1,1,1,1.0356,1.2024,2
1,1,0,1,1,1.0858,0.83524,2
1,1,0,1,1,1.0188,0.60151,2
1,1,1,1,1,0.90205,0.53473,2
0,0,2,1,1,1.1022,1.5862,2
1,0,1,1,0,0.68505,1.2024,2
1,0,2,1,1,0.68516,0.53478,2
0,1,0,1,1,0.85207,0.55142,2
0,1,2,1,1,1.1691,0.80178,2
0,1,0,1,1,0.96888,0.65166,2
1,0,1,1,0,0.58499,1.002,2
0,1,1,1,1,1.3861,0.50147,2
1,1,0,1,1,0.91872,0.50153,2
0,0,2,1,1,0.51814,0.76842,2
0,1,1,1,1,0.51827,0.51809,2
1,0,0,1,1,1.0356,0.85188,2
0,1,2,1,1,0.53491,0.50138,2
1,0,0,1,1,0.68508,0.76854,2
1,1,1,1,1,0.51804,0.56813,2
0,1,2,1,1,0.63503,0.50134,2
0,0,2,1,0,0.63495,0.63489,2
1,0,1,1,1,0.56824,1.92,2
1,1,0,1,1,1.2025,0.50137,2
0,1,1,1,1,1.7198,0.50137,2
1,0,0,1,1,0.7185,0.56816,2
1,0,2,1,1,0.51826,0.66836,2
0,0,2,1,1,0.53475,0.85181,2
1,1,1,1,1,0.51818,0.61822,2
1,0,0,1,1,0.88529,0.81848,2
1,0,2,1,1,0.96871,0.58483,2
0,0,1,1,1,0.71828,1.2691,2
1,0,0,1,1,1.3026,1.1354,2
1,1,0,1,1,0.60165,1.1856,2
0,0,1,1,1,0.63505,1.8032,2
0,0,2,1,1,0.78526,0.85183,2
0,0,0,1,1,0.51817,0.8352,2
0,0,2,1,0,0.56822,0.75176,2
0,0,1,1,1,0.51809,1.0187,2
1,1,0,1,1,0.76841,0.50134,2
